How levy and export charge rates are set
Levy and export charge rates are set by the Australian primary industries that choose to invest in the levies system. The rates are established under legislation.
Levies and charges help to pay for:
- biosecurity activities and responses
- marketing
- research and development
- residue testing.
Check individual product pages for details of levy and charge on a specific product.
Rates tables
| Levy/export charge type | Product | Levy/export charge rate | 
| Dried tree fruit levy | Dried peaches | $32.00 per tonne | 
| Dried tree fruit levy | Dried pears | $32.00 per tonne | 
| Dried tree fruit levy | Dried plums | $32.00 per tonne | 
| Dried tree fruit levy | Hybrid (between any of the species Prunus) | $32.00 per tonne | 
| Ginger levy | All ginger | 0.5% of the sale price | 
| Lychees levy and export charge | Lychees processed or purchased for processing | 1 cent per kilogram | 
| Lychees levy and export charge | All other lychees | 8 cents per kilogram | 
| Macadamia nuts levy | Dried kernel sold or processed | 26 cents per kilogram | 
| Macadamia nuts export charge | Dried kernel exported | 26 cents per kilogram | 
| Macadamia nuts levy | Macadamia nuts sold in shell (sample taken and moisture content reduced) | 26 cents per kilogram | 
| Macadamia nuts export charge | Macadamia nuts exported in shell (sample taken and moisture content reduced) | 26 cents per kilogram | 
| Macadamia nuts levy | Macadamia nuts sold in shell (no sample taken) | 13 cents per kilogram | 
| Macadamia nuts export charge | Macadamia nuts exported in shell (no sample taken) | 13 cents per kilogram | 
| Mangoes levy and export charge | All mangoes | 1.893 cents per kilogram | 
| Melons levy and export charge | All melons | 0.4 cents per kilogram | 
| Nursery container levy | Nursery containers | 5% of the amount paid for the containers | 
| Olives levy | All olives | $3.10 per tonne | 
| Onions levy and export charge | All onions | $4.00 per tonne | 
| Papaya levy and export charge | Papaya processed or purchased for processing | 0.25 cents per kilogram | 
| Papaya levy and export charge | All other papaya | 2 cents per kilogram | 
| Passionfruit levy and export charge | Packed in passionfruit cartons (ordinarily 18 litre) | 40 cents per carton | 
| Passionfruit levy and export charge | Passionfruit processed or purchased for processing | 3 cents per kilogram | 
| Passionfruit levy and export charge | All other passionfruit | 40 cents per 8 kilograms | 
| Persimmons levy and export charge | All persimmons | 6.25 cents per kilogram | 
| Pineapples levy and export charge | Pineapples processed or purchased for processing | $2.00 per tonne | 
| Pineapples levy and export charge | All other pineapples | $5.00 per tonne | 
| Potatoes levy and export charge | Potatoes processed | 50 cents per tonne | 
| Potatoes levy and export charge | All other potatoes | 60 cents per tonne | 
| Prune levy | Prunes | $13.00 per tonne | 
| Rubus levy and export charge | All rubus | 4 cents per kilogram | 
| Stone fruit levy and export charge | All stone fruit | 1 cent per kilogram | 
| Strawberry runner levy | Strawberry runners (rounded up to the next 1,000 for each sale or purchase) | $8.00 per 1000 runners | 
| Sweet potatoes levy and export charge | All sweet potatoes | 0.5% of the value (either market value on day processing begins, sale price or free-on-board value) | 
| Table grapes levy and export charge | All table grapes | 1 cent per kilogram | 
| Tea tree oil export charge | Tea tree oil exported | 25 cents per kilogram | 
| Tea tree oil levy | Tea tree oil sold | 25 cents per kilogram | 
| Turf export charge | Turf exported | 1.5 cents per m2 | 
| Turf levy | Turf sold | 1.5 cents per m2 | 
| Vegetables levy and export charge | All vegetables | 0.51% of the value (either market value on day processing begins, sale price or free-on-board value) | 
| Levy/export charge type | Product | Levy/export charge rate | 
|---|---|---|
| Buffalo export charge | Buffalo exported | $4.60 per head | 
| Cattle exporter charge | Cattle exported that were dairy cattle prior to export | $6.00 per head | 
| Cattle exporter charge | Cattle exported that were not dairy cattle prior to export | 0.9523 cents per kilogram | 
| Cattle owner export charge | All other cattle | $5.00 per head | 
| Cattle owner export charge | Export bobby calves | 90 cents per head | 
| Cattle transaction levy | All other cattle | $5.00 per head | 
| Cattle transaction levy | Bobby calves | 90 cents per head | 
| Cattle transaction levy | Lot-fed cattle | $5.00 per head | 
| Goat exporter charge | Goats exported | 50 cents per head | 
| Goat owner export charge | Goats | 37.7 cents per head | 
| Goat transaction levy | Goats | 37.7 cents per head | 
| Sheep and lambs exporter charge | Lambs exported | 60 cents per head | 
| Sheep and lambs exporter charge | Sheep exported | 60 cents per head | 
| Sheep and lambs owner export charge | Lambs valued at $5 to $75 per head | 2% of the free on-board value | 
| Sheep and lambs owner export charge | Lambs valued at more than $75 per head | $1.50 per head | 
| Sheep and lambs owner export charge | Sheep valued at $5 to $10 per head | 2% of the free on-board value | 
| Sheep and lambs owner export charge | Sheep valued at more than $10 per head | 20 cents per head | 
| Sheep and lambs transaction levy | Lambs with no sale price | 80 cents per head | 
| Sheep and lambs transaction levy | Lambs with sale price $5 to $75 per head | 2% of the sale price | 
| Sheep and lambs transaction levy | Lambs with sale price more than $75 per head | $1.50 per head | 
| Sheep and lambs transaction levy | Sheep with no sale price | 20 cents per head | 
| Sheep and lambs transaction levy | Sheep with sale price $5 to $10 per head | 2% of the sale price | 
| Sheep and lambs transaction levy | Sheep with sale price more than $10 per head | 20 cents per head | 
| Thoroughbred horse levy | Mares | $10.00 per mare | 
| Thoroughbred horse levy | Stallions | $10.00 per mare covered by a stallion | 
| Levy/export charge type | Product | Levy/export charge rate | 
|---|---|---|
| Grape research levy | Fresh grapes | $2.00 per tonne | 
| Grape research levy | Dried grapes | $2.00 per tonne of fresh grape equivalent | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice ( no more than 10 tonnes) | $200 + $5.00 per tonne | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice (m ore than 10 but not more than 3,000 tonnes) | $180 + $9.20 per tonne | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice (more than 3,000 but not more than 6,000 tonnes) | $27,780 + $8.80 per tonne over 3,000 tonnes | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice (more than 6,000 but not more than 9,000 tonnes) | $54,180 + $7.00 per tonne over 6,000 tonnes | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice (more than 9,000 but not more than 12,000 tonnes) | $75,180 + $6.30 per tonne over 9,000 tonnes | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice (more than 12,000 but not more than 20,000 tonnes) | $94,080 + $5.60 per tonne over 12,000 tonnes | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice (more than 20,000 but not more than 40,000 tonnes) | $138,880 + $5.50 per tonne over 20,000 tonnes | 
| Wine grapes levy | Fresh grapes, fresh grape equivalent of dried grapes or grape juice (more than 40,000 tonnes) | $248,880 + $5.40 per tonne over 40,000 tonnes | 
| Wine export charge | Wine exported (free on-board sales value of wine is not more than $20 million) | 0.2% of the free on-board sales value | 
| Wine export charge | Wine exported (free on-board sales value of wine is more than $20 million but not more than $70 million) | The sum of $40,000 (as a base amount) and 0.1% of the free on-board sales value over $20 million | 
| Wine export charge | Wine exported (free on-board sales value of wine is more than $70 million) | The sum of $90,000 (as a base amount) and 0.05% of the free on-board sales value over $70 million | 
Full breakdown of the rates
You can view a full breakdown of each levy or export charge rate. This includes the amount of levy or export charge allocated to each activity.
