These tables show final FTA Dairy quota position for 2006-2023
| Quota type | Total quota | Total shipped | % shipped | Unused quota | 
| Goya Cheese (Z) | 4,950,000 | 0 | 0 | 4,950,000 | 
| Quota type | Total quota | Shipped | % Quota shipped | Balance remaining | 
|---|---|---|---|---|
| American Cheese (A) | 734,000 | 0 | 0 | 734,000 | 
| Butter (B) | 2,203,000 | 1,096,400 | 50 | 1,106,600 | 
| Condensed Milk (D) | 6,399,000 | 0 | 0 | 6,399,000 | 
| Other Milk Powders (F) | 6,660,000 | 80,000 | 1 | 6,580,000 | 
| Cheddar Cheese (H) | 1,101,000 | 811,883 | 74 | 289,117 | 
| Ice Cream (I) | 7,998,500 | 0 | 0 | 7,998,500 | 
| Skim Milk Powder (K) | 147,000 | 0 | 0 | 147,000 | 
| Other Dairy Products (L) | 3,199,000 | 633,147 | 26 | 2,565,853 | 
| Cream (M) | 7,998,500 | 0 | 0 | 7,998,500 | 
| Other Cheese (O) | 6,600,000 | 262,112 | 4 | 6,337,888 | 
| Swiss Cheese (T) | 943,000 | 0 | 0 | 943,000 | 
| European Cheese (U) | 3,771,000 | 1,683 | 0 | 3,769,317 | 
| Goya Cheese (Z) | 4,714,000 | 0 | 0 | 4,714,000 | 
| Quota type | Total quota | Shipped | % Quota shipped | Balance remaining | 
|---|---|---|---|---|
| American Cheese (A) | 713,000 | 0 | 0 | 713,000 | 
| Butter (B) | 2,139,000 | 157,475 | 7 | 1,981,525 | 
| Condensed Milk (D) | 6,037,000 | 0 | 0 | 6,037,000 | 
| Other Milk Powders (F) | 6,404,000 | 300,000 | 5 | 6,104,000 | 
| Cheddar Cheese (H) | 1,069,000 | 771,220 | 72 | 281,600 | 
| Ice Cream (I) | 7,545,500 | 0 | 0 | 7,545,500 | 
| Skim Milk Powder (K) | 143,000 | 0 | 0 | 143,000 | 
| Other Dairy Products (L) | 3,018,000 | 795,251 | 26 | 2,222,749 | 
| Cream (M) | 7,545,500 | 0 | 0 | 7,545,500 | 
| Other Cheese (O) | 6,285,000 | 1,311,037 | 21 | 4,973,963 | 
