2025 end-of-month red meat export reports
These tables provide a further breakdown of red meat exports in six formats: exports by state, exports by destination, by load port across Australia, comparison tables, meat exported via air freight and processed meat exports. All reports in Excel format.
| Title | Month | Fiscal YTD | Calendar YTD | 
| Exports by State of Production | 2506 mesp [21 KB] | 2506 fesp [22 KB] | 2506 cesp [23 KB] | 
| 57 Destination Report | 2506 m57dest [31 KB] | 2506 f57dest [35 KB] | 2506 c57dest [34 KB] | 
| Exports by Load Port | 2506 mlp [16 KB] | 2506 flp [16 KB] | 2506 clp [16 KB] | 
| Comparison Table |  | 2506 fcom [31 KB] | 2506 ccom [31 KB] | 
| Air Freight | 2506 mair [20 KB] | 2506 fair [21 KB] | 2506 cair [21 KB] | 
| Processed Meat Exports | 2506 mf9 [19 KB] | 2506 ff9 [17 KB] | 2506 cf9 [17 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2505 mesp [29 KB] | 2505 fesp [29 KB] | 2505 cesp [29 KB] | 
| 57 Destination Report | 2505 m57dest [39 KB] | 2505 f57dest [42 KB] | 2505 c57dest [41 KB] | 
| Exports by Load Port | 2505 mlp [23 KB] | 2505 flp [23 KB] | 2505 clp [23 KB] | 
| Comparison Table | - | 2505 fcom [38 KB] | 2505 ccom [37 KB] | 
| Air Freight | 2505 mair [27 KB] | 2505 fair [28 KB] | 2505 cair [27 KB] | 
| Processed Meat Exports | 2505 mf9 [26 KB] | 2505 ff9 [24 KB] | 2505 cf9 [24 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2504 mesp [29 KB] | 2504 fesp [30 KB] | 2504 cesp [29 KB] | 
| 57 Destination Report | 2504 m57dest [39 KB] | 2504 f57dest [42 KB] | 2504 c57dest [40 KB] | 
| Exports by Load Port | 2504 mlp [24 KB] | 2504 flp [24 KB] | 2504 clp [24 KB] | 
| Comparison Table | - | 2504 fcom [38 KB] | 2504 ccom [38 KB] | 
| Air Freight | 2504 mair [27 KB] | 2504 fair [28 KB] | 2504 cair [28 KB] | 
| Processed Meat Exports | 2504 mf9 [26 KB] | 2504 ff9 [25 KB] | 2504 cf9 [25 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2503 mesp [29 KB] | 2503 fesp [30 KB] | 2503 cesp [29 KB] | 
| 57 Destination Report | 2503 m57dest [39 KB] | 2503 f57dest [42 KB] | 2503 c57dest [40 KB] | 
| Exports by Load Port | 2503 mlp [24 KB] | 2503 flp [24 KB] | 2503 clp [24 KB] | 
| Comparison Table | - | 2503 fcom [38 KB] | 2503 ccom [38 KB] | 
| Air Freight | 2503 mair [27 KB] | 2503 fair [28 KB] | 2503 cair [28 KB] | 
| Processed Meat Exports | 2503 mf9 [26 KB] | 2503 ff9 [25 KB] | 2503 cf9 [25 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2502 mesp [29 KB] | 2502 fesp [30 KB] | 2502 cesp [29 KB] | 
| 57 Destination Report | 2502 m57dest [39 KB] | 2502 f57dest [41 KB] | 2502 c57dest [39 KB] | 
| Exports by Load Port | 2502 mlp [24 KB] | 2502 flp [24 KB] | 2502 clp [24 KB] | 
| Comparison Table | - | 2502 fcom [38 KB] | 2502 ccom [37 KB] | 
| Air Freight | 2502 mair [27 KB] | 2502 fair [28 KB] | 2502 cair [27 KB] | 
| Processed Meat Exports | 2502 mf9 [26 KB] | 2502 ff9 [25 KB] | 2502 cf9 [24 KB] | 
| Title | Month | Fiscal YTD | Calendar YTD | 
|---|---|---|---|
| Exports by State of Production | 2501 mesp [29 KB] | 2501 fesp [30 KB] | 2501 cesp [29 KB] | 
| 57 Destination Report | 2501 m57dest [39 KB] | 2501 f57dest [41 KB] | 2501 c57dest [39 KB] | 
| Exports by Load Port | 2501 mlp [24 KB] | 2501 flp [24 KB] | 2501 clp [24 KB] | 
| Comparison Table | - | 2501 fcom [38 KB] | 2501 ccom [37 KB] | 
| Air Freight | 2501 mair [27 KB] | 2501 fair [28 KB] | 2501 cair [27 KB] | 
| Processed Meat Exports | 2501 mf9 [26 KB] | 2501 ff9 [25 KB] | 2501 cf9 [24 KB] |
